Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 11.11      0.01     0.01   958464     0.01     0.01  std::less<unsigned int>::operator()(unsigned int const&, unsigned int const&) const
 11.11      0.02     0.01   442359     0.02     0.02  std::_Rb_tree_iterator<std::pair<unsigned int const, int> >::operator*() const
 11.11      0.03     0.01   245766     0.04     0.04  inode_manager::getattr(unsigned int, extent_protocol::attr&)
 11.11      0.04     0.01   221184     0.05     0.05  std::map<unsigned int, int, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, int> > >::end()
 11.11      0.05     0.01    73729     0.14     0.14  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_S_right(std::_Rb_tree_node_base*)
 11.11      0.06     0.01    61442     0.16     0.16  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_create_node(std::pair<std::string const, unsigned long long> const&)
 11.11      0.07     0.01    12289     0.81     0.98  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<std::string const, unsigned long long> const&)
 11.11      0.08     0.01                             fuseserver_mknod(fuse_req*, unsigned long, char const*, unsigned int, unsigned long)
  5.56      0.09     0.01    86018     0.06     0.11  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::clear()
  5.56      0.09     0.01    73733     0.07     0.07  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_root() const
  0.00      0.09     0.00   737305     0.00     0.00  std::_Select1st<std::pair<unsigned int const, int> >::operator()(std::pair<unsigned int const, int> const&) const
  0.00      0.09     0.00   737273     0.00     0.00  std::_Rb_tree<unsigned int, std::pair<unsigned int const, int>, std::_Select1st<std::pair<unsigned int const, int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, int> > >::_S_key(std::_Rb_tree_node<std::pair<unsigned int const, int> > const*)
  0.00      0.09     0.00   737273     0.00     0.00  std::_Rb_tree<unsigned int, std::pair<unsigned int const, int>, std::_Select1st<std::pair<unsigned int const, int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, int> > >::_S_value(std::_Rb_tree_node<std::pair<unsigned int const, int> > const*)
  0.00      0.09     0.00   442380     0.00     0.00  std::vector<yfs_client::dir, std::allocator<yfs_client::dir> >::operator[](unsigned long)
